"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
303,0,2,1980,1,-4,-4,4,0,-5,4,0,5,0,0,0,-4,1
304,0,1,1983,1,-4,1,4,0,0,1,0,6,0,0,0,-4,1
305,1,2,1983,15,0,-4,4,0,0,5,0,6,0,0,0,-4,1
306,0,2,1980,-4,-4,-4,4,0,-5,3,0,6,0,3,1,-4,1
307,0,2,1980,-4,-4,-4,4,0,-2,7,0,6,0,1,0,-4,0
308,0,1,1981,-4,-4,-4,4,0,-5,2,-5,-5,-5,-5,-5,-4,1
309,0,2,1981,-4,-4,-4,4,-5,-5,5,0,6,0,0,0,-4,1
310,0,2,1982,-4,-4,-4,4,-5,-5,3,-5,-5,-5,-5,-5,1,1
311,0,1,1982,-4,-4,-4,4,0,0,1,-5,5,0,1,0,-4,1
312,0,2,1982,-4,-4,-4,4,0,0,4,-5,-5,-5,-5,-5,-4,0
313,1,2,1981,1,-4,-4,4,0,0,2,0,5,0,0,0,-4,1
314,1,1,1984,1,-4,0,4,0,0,4,-5,-5,-5,-5,-5,-4,0
315,1,2,1982,1,-4,-4,4,0,0,7,1,3,1,1,0,-4,0
316,1,1,1982,1,-4,-4,4,-5,1,6,-5,-5,-5,-5,-5,1,3
317,1,2,1980,-4,-4,-4,2,-5,0,1,-5,-5,-5,-5,-5,1,1
318,0,1,1983,3,-4,0,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
319,1,2,1983,15,0,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
320,0,2,1982,1,-4,-4,4,0,-5,-5,-5,5,1,2,0,-4,0
321,1,1,1981,-4,-4,-4,4,0,0,6,0,3,0,0,0,1,3
322,0,2,1982,1,-4,-4,4,0,0,7,0,6,2,2,2,-4,0
